@Class soft 
0 1.0 1.0 
0.1 0.052631578947368474 0.8 
0.2 0.052631578947368474 0.8 
0.30000000000000004 0.052631578947368474 0.8 
0.4 0.052631578947368474 0.8 
0.5 0.052631578947368474 0.8 
0.6 0.052631578947368474 0.4 
0.7 0.052631578947368474 0.2 
0.7999999999999999 0.0 0.0 
0.8999999999999999 0.0 0.0 
0.9999999999999999 0.0 0.0 

@Class hard 
0 1.0 1.0 
0.1 0.09999999999999998 0.25 
0.2 0.09999999999999998 0.25 
0.30000000000000004 0.09999999999999998 0.25 
0.4 0.09999999999999998 0.25 
0.5 0.09999999999999998 0.25 
0.6 0.050000000000000044 0.25 
0.7 0.0 0.25 
0.7999999999999999 0.0 0.0 
0.8999999999999999 0.0 0.0 
0.9999999999999999 0.0 0.0 

@Class none 
0 1.0 1.0 
0.1 1.0 1.0 
0.2 1.0 1.0 
0.30000000000000004 0.7777777777777778 0.9333333333333333 
0.4 0.6666666666666667 0.8666666666666667 
0.5 0.4444444444444444 0.8 
0.6 0.4444444444444444 0.8 
0.7 0.4444444444444444 0.8 
0.7999999999999999 0.4444444444444444 0.8 
0.8999999999999999 0.4444444444444444 0.8 
0.9999999999999999 0.4444444444444444 0.8 

